2025-08-14 08:27:11 logger.py[line:302] INFO Logger setup done. 
2025-08-14 08:27:11 train.py[line:38] INFO Creating training data loader...
2025-08-14 08:27:11 train.py[line:47] INFO Exclude class: ADM
2025-08-14 08:27:45 train.py[line:70] INFO Creating model 'resnet50'... 
2025-08-14 08:27:47 train.py[line:78] INFO Creating model 'clip'... 
2025-08-14 08:27:58 train.py[line:116] INFO Creating optimizer and scheduler... 
2025-08-14 08:27:58 train.py[line:141] INFO Start training for 200000 steps. 
2025-08-14 08:34:45 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 1
2025-08-14 08:35:35 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 2
2025-08-14 08:35:36 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 3
2025-08-14 08:35:37 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 4
2025-08-14 08:39:15 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 5
2025-08-14 08:39:16 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 6
2025-08-14 08:39:17 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 7
2025-08-14 08:39:18 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 8
2025-08-14 08:39:19 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 9
2025-08-14 08:39:20 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 10
2025-08-14 08:39:21 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 11
2025-08-14 08:39:22 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 12
2025-08-14 08:39:23 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 13
2025-08-14 08:39:24 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 14
2025-08-14 08:39:25 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 15
2025-08-14 08:39:26 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 16
2025-08-14 08:39:27 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 17
2025-08-14 08:39:28 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 18
2025-08-14 08:39:29 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 19
2025-08-14 08:39:31 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 20
2025-08-14 08:39:32 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 21
2025-08-14 08:39:33 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 22
2025-08-14 08:39:34 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 23
2025-08-14 08:39:35 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 24
2025-08-14 08:39:36 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 25
2025-08-14 08:39:37 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 26
2025-08-14 08:39:38 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 27
2025-08-14 08:39:39 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 28
2025-08-14 08:39:40 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 29
2025-08-14 08:39:41 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 30
2025-08-14 08:39:42 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 31
2025-08-14 08:39:43 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 32
2025-08-14 08:39:44 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 33
2025-08-14 08:39:45 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 34
2025-08-14 08:39:46 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 35
2025-08-14 08:39:47 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 36
2025-08-14 08:39:48 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 37
2025-08-14 08:39:49 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 38
2025-08-14 08:39:50 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 39
2025-08-14 08:39:51 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 40
2025-08-14 08:39:52 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 41
2025-08-14 08:39:53 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 42
2025-08-14 08:39:54 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 43
2025-08-14 08:39:55 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 44
2025-08-14 08:39:56 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 45
2025-08-14 08:39:57 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 46
2025-08-14 08:39:58 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 47
2025-08-14 08:39:59 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 48
2025-08-14 08:40:00 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 49
2025-08-14 08:40:01 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 50
2025-08-14 08:40:02 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 51
2025-08-14 08:40:04 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 52
2025-08-14 08:40:05 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 53
2025-08-14 08:40:06 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 54
2025-08-14 08:40:07 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 55
2025-08-14 08:40:08 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 56
2025-08-14 08:40:09 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 57
2025-08-14 08:40:10 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 58
2025-08-14 08:40:11 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 59
2025-08-14 08:40:12 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 60
2025-08-14 08:40:13 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 61
2025-08-14 08:40:14 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 62
2025-08-14 08:40:15 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 63
2025-08-14 08:40:16 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 64
2025-08-14 08:40:17 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 65
2025-08-14 08:40:18 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 66
2025-08-14 08:40:19 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 67
2025-08-14 08:40:20 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 68
2025-08-14 08:40:21 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 69
2025-08-14 08:40:22 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 70
2025-08-14 08:40:23 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 71
2025-08-14 08:40:24 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 72
2025-08-14 08:40:25 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 73
2025-08-14 08:40:26 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 74
2025-08-14 08:40:27 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 75
2025-08-14 08:40:28 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 76
2025-08-14 08:40:29 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 77
2025-08-14 08:40:30 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 78
2025-08-14 08:40:31 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 79
2025-08-14 08:40:32 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 80
2025-08-14 08:40:33 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 81
2025-08-14 08:40:34 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 82
2025-08-14 08:40:36 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 83
2025-08-14 08:40:37 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 84
2025-08-14 08:40:38 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 85
2025-08-14 08:40:39 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 86
2025-08-14 08:40:40 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 87
2025-08-14 08:40:41 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 88
2025-08-14 08:40:42 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 89
2025-08-14 08:40:43 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 90
2025-08-14 08:40:44 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 91
2025-08-14 08:40:45 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 92
2025-08-14 08:40:46 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 93
2025-08-14 08:40:47 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 94
2025-08-14 08:40:48 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 95
2025-08-14 08:40:49 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 96
2025-08-14 08:40:50 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 97
2025-08-14 08:40:51 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 98
2025-08-14 08:40:52 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 99
2025-08-14 08:40:53 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 100
2025-08-14 08:40:54 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 101
2025-08-14 08:40:55 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 102
2025-08-14 08:40:56 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 103
2025-08-14 08:40:57 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 104
2025-08-14 08:40:58 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 105
2025-08-14 08:40:59 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 106
2025-08-14 08:41:00 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 107
2025-08-14 08:41:02 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 108
2025-08-14 08:41:03 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 109
2025-08-14 08:41:04 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 110
2025-08-14 08:41:05 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 111
2025-08-14 08:41:06 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 112
2025-08-14 08:41:07 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 113
2025-08-14 08:41:08 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 114
2025-08-14 08:41:09 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 115
2025-08-14 08:41:10 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 116
2025-08-14 08:41:11 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 117
2025-08-14 08:41:12 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 118
2025-08-14 08:41:13 train.py[line:316] INFO Best accuracy so far: 0, best AP: 0, in step: 119
