2025-08-15 01:34:45 logger.py[line:302] INFO Logger setup done. 
2025-08-15 01:34:45 train.py[line:38] INFO Creating training data loader...
2025-08-15 01:34:45 train.py[line:47] INFO Exclude class: ADM
2025-08-15 01:35:15 train.py[line:70] INFO Creating model 'resnet50'... 
2025-08-15 01:35:16 train.py[line:78] INFO Creating model 'clip'... 
2025-08-15 01:35:27 train.py[line:117] INFO Creating optimizer and scheduler... 
2025-08-15 01:35:27 train.py[line:143] INFO Start training for 200000 steps. 
2025-08-15 01:45:36 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 1
2025-08-15 01:46:38 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 2
2025-08-15 01:46:39 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 3
2025-08-15 01:46:40 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 4
2025-08-15 01:50:18 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 5
2025-08-15 01:50:19 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 6
2025-08-15 01:50:20 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 7
2025-08-15 01:50:21 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 8
2025-08-15 01:50:22 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 9
2025-08-15 01:50:24 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 10
2025-08-15 01:50:25 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 11
2025-08-15 01:50:26 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 12
2025-08-15 01:50:27 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 13
2025-08-15 01:50:28 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 14
2025-08-15 01:50:29 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 15
2025-08-15 01:50:30 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 16
2025-08-15 01:50:31 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 17
2025-08-15 01:50:32 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 18
2025-08-15 01:50:33 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 19
2025-08-15 01:50:34 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 20
2025-08-15 01:50:35 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 21
2025-08-15 01:50:36 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 22
2025-08-15 01:50:37 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 23
2025-08-15 01:50:38 train.py[line:320] INFO Best accuracy so far: 0, best AP: 0, in step: 24
