2025-08-14 07:08:22 logger.py[line:302] INFO Logger setup done. 
2025-08-14 07:08:22 train.py[line:38] INFO Creating training data loader...
2025-08-14 07:08:22 train.py[line:47] INFO Exclude class: ADM
2025-08-14 07:28:32 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 61
2025-08-14 07:28:33 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 62
2025-08-14 07:28:34 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 63
2025-08-14 07:28:35 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 64
2025-08-14 07:28:36 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 65
2025-08-14 07:28:37 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 66
2025-08-14 07:28:38 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 67
2025-08-14 07:28:39 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 68
2025-08-14 07:28:41 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 69
2025-08-14 07:28:42 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 70
2025-08-14 07:28:43 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 71
2025-08-14 07:28:44 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 72
2025-08-14 07:28:45 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 73
2025-08-14 07:28:46 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 74
2025-08-14 07:28:47 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 75
2025-08-14 07:28:48 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 76
2025-08-14 07:28:49 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 77
2025-08-14 07:28:50 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 78
2025-08-14 07:28:51 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 79
2025-08-14 07:28:52 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 80
2025-08-14 07:28:53 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 81
2025-08-14 07:28:54 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 82
2025-08-14 07:28:55 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 83
2025-08-14 07:28:56 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 84
2025-08-14 07:28:57 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 85
2025-08-14 07:28:58 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 86
2025-08-14 07:28:59 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 87
2025-08-14 07:29:00 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 88
2025-08-14 07:29:01 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 89
2025-08-14 07:29:02 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 90
2025-08-14 07:29:04 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 91
2025-08-14 07:29:05 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 92
2025-08-14 07:29:06 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 93
2025-08-14 07:29:07 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 94
2025-08-14 07:29:08 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 95
2025-08-14 07:29:09 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 96
2025-08-14 07:29:10 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 97
2025-08-14 07:29:11 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 98
2025-08-14 07:29:12 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 99
2025-08-14 07:29:13 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 100
2025-08-14 07:29:14 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 101
2025-08-14 07:29:15 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 102
2025-08-14 07:29:16 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 103
2025-08-14 07:29:17 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 104
2025-08-14 07:29:18 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 105
2025-08-14 07:29:19 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 106
2025-08-14 07:29:20 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 107
2025-08-14 07:29:21 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 108
2025-08-14 07:29:22 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 109
2025-08-14 07:29:23 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 110
2025-08-14 07:29:24 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 111
2025-08-14 07:29:25 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 112
2025-08-14 07:29:26 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 113
2025-08-14 07:29:28 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 114
2025-08-14 07:29:29 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 115
2025-08-14 07:29:30 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 116
2025-08-14 07:29:31 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 117
2025-08-14 07:29:32 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 118
2025-08-14 07:29:33 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 119
2025-08-14 07:29:34 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 120
2025-08-14 07:29:35 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 121
2025-08-14 07:29:36 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 122
2025-08-14 07:29:37 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 123
2025-08-14 07:29:38 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 124
2025-08-14 07:29:39 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 125
2025-08-14 07:29:40 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 126
2025-08-14 07:29:42 train.py[line:314] INFO Best accuracy so far: 0, best AP: 0, in step: 127
